sep=,
"Power_Delay_OFDM_narrow"
"Timestamp","1/1/1904 1:00:00 AM"
"Interval","2.49999999999979E-07"
"0","0.011052878104505564"
"2.4999999999997897E-07","0"
"4.9999999999995794E-07","0"
"7.4999999999993692E-07","0"
"9.9999999999991589E-07","0"
"1.2499999999998949E-06","0"
"1.4999999999998738E-06","0"
"1.7499999999998528E-06","0"
"1.9999999999998318E-06","0"
"2.2499999999998107E-06","0"
"2.4999999999997897E-06","0"
"2.7499999999997687E-06","0"
"2.9999999999997477E-06","0"
"3.2499999999997266E-06","0"
"3.4999999999997056E-06","0"
"3.7499999999996846E-06","0"
"3.9999999999996635E-06","0"
"4.2499999999996425E-06","0"
"4.4999999999996215E-06","0"
"4.7499999999996005E-06","0"
"4.9999999999995794E-06","5.3696488015726435E-07"
"5.2499999999995584E-06","0"
"5.4999999999995374E-06","0"
"5.7499999999995163E-06","0"
"5.9999999999994953E-06","0"
"6.2499999999994743E-06","0"
"6.4999999999994533E-06","0"
"6.7499999999994322E-06","0"
"6.9999999999994112E-06","0"
"7.2499999999993902E-06","0"
"7.4999999999993692E-06","0"
"7.7499999999993481E-06","0"
"7.9999999999993271E-06","0"
"8.2499999999993061E-06","0"
"8.499999999999285E-06","0"
"8.749999999999264E-06","0"
"8.999999999999243E-06","0"
"9.249999999999222E-06","0"
"9.4999999999992009E-06","0"
"9.7499999999991799E-06","0"
"9.9999999999991589E-06","5.5271282789611699E-07"
"1.0249999999999138E-05","0"
"1.0499999999999117E-05","0"
"1.0749999999999096E-05","0"
"1.0999999999999075E-05","0"
"1.1249999999999054E-05","0"
"1.1499999999999033E-05","0"
"1.1749999999999012E-05","0"
"1.1999999999998991E-05","0"
"1.224999999999897E-05","0"
"1.2499999999998949E-05","0"
"1.2749999999998928E-05","0"
"1.2999999999998907E-05","0"
"1.3249999999998885E-05","0"
"1.3499999999998864E-05","0"
"1.3749999999998843E-05","0"
"1.3999999999998822E-05","0"
"1.4249999999998801E-05","0"
"1.449999999999878E-05","0"
"1.4749999999998759E-05","0"
"1.4999999999998738E-05","5.7605007092314703E-07"
"1.5249999999998717E-05","0"
"1.5499999999998696E-05","0"
"1.5749999999998675E-05","0"
"1.5999999999998654E-05","0"
"1.6249999999998633E-05","0"
"1.6499999999998612E-05","0"
"1.6749999999998591E-05","0"
"1.699999999999857E-05","0"
"1.7249999999998549E-05","0"
"1.7499999999998528E-05","0"
"1.7749999999998507E-05","0"
"1.7999999999998486E-05","0"
"1.8249999999998465E-05","0"
"1.8499999999998444E-05","0"
"1.8749999999998423E-05","0"
"1.8999999999998402E-05","0"
"1.9249999999998381E-05","0"
"1.949999999999836E-05","0"
"1.9749999999998339E-05","0"

